"item_code","Cmt1","Cmt2","Cmt3","Cmt4","Cnf1","Cnf2","Cnf3","Cnf4","Cop1","Cop2","Cop3","Cop4","Cmp1","Cmp2","Cmp3","Cmp4"
"Cmt1",0,1.92627820842792e-43,2.76423550158788e-34,4.95918568950905e-27,1.37402262816358e-05,2.18007046049089e-10,0.000388602859487983,0.096184677583422,0.202303689228793,0.185567121936996,0.723263278253711,0.863812161759283,0.152129498680727,0.0790093678259058,0.0712901014683782,3.45432688881446e-10
"Cmt2",1.92627820842792e-43,0,7.7466310517731e-27,4.91601136369617e-17,0.0103206657362099,2.49436458390259e-06,0.000903905611301539,0.0315760298764494,0.27607627079694,0.729167499536919,0.82030357103961,0.710403048880037,0.238950059310524,0.0210235733363522,0.308852684204275,8.16420220991134e-09
"Cmt3",2.76423550158788e-34,7.7466310517731e-27,0,2.6759117417823e-22,6.97922641020951e-07,5.23058864519433e-10,6.58858339548573e-06,5.9153409266575e-05,0.0479871147336603,0.115958552577417,0.298066815264011,0.671994137110143,0.1323397079452,0.0343618415349892,0.999657725874296,3.79227045003136e-06
"Cmt4",4.95918568950905e-27,4.91601136369617e-17,2.6759117417823e-22,0,9.9968325337532e-13,1.87861422479628e-11,3.61955152284747e-06,3.08291432396652e-06,0.0284676703203886,0.0387706030206141,0.0974835545480342,0.814762144349369,0.692998966086109,0.858785598960557,0.67829298724994,0.0272510235920984
"Cnf1",1.37402262816358e-05,0.0103206657362099,6.97922641020951e-07,9.9968325337532e-13,0,1.45986704022222e-32,2.49083936351547e-32,7.20521061093317e-23,0.0441932771775282,0.0126641343159365,0.863431584648586,0.285376184895396,0.0687337051895955,0.157322248781711,0.223047539938612,0.0542976076660289
"Cnf2",2.18007046049089e-10,2.49436458390259e-06,5.23058864519433e-10,1.87861422479628e-11,1.45986704022222e-32,0,6.85581059111401e-31,7.04345640709515e-27,1.42355756999696e-07,0.000216355160049946,0.0650584059786613,0.102970046613267,0.0800904632764077,0.00343872843436036,0.0274017046855293,0.00104050592626038
"Cnf3",0.000388602859487983,0.000903905611301539,6.58858339548573e-06,3.61955152284747e-06,2.49083936351547e-32,6.85581059111401e-31,0,1.75437014583478e-17,0.00583596796716252,0.0158753520642459,0.21220974207212,0.16371539430028,0.226374960784849,0.327689405735056,0.180470716002031,0.265768915932022
"Cnf4",0.096184677583422,0.0315760298764494,5.9153409266575e-05,3.08291432396652e-06,7.20521061093317e-23,7.04345640709515e-27,1.75437014583478e-17,0,5.48459886159023e-12,3.42766957759002e-10,1.61565142472752e-07,2.15278009615318e-07,0.000712618894566178,0.0234748373743887,0.0274474432706809,0.169191438004267
"Cop1",0.202303689228793,0.27607627079694,0.0479871147336603,0.0284676703203886,0.0441932771775282,1.42355756999696e-07,0.00583596796716252,5.48459886159023e-12,0,6.08942794156794e-41,1.77049361229893e-30,1.00945095297576e-20,0.812923569164205,1.2817537887932e-05,0.00981619614528346,0.630850733344368
"Cop2",0.185567121936996,0.729167499536919,0.115958552577417,0.0387706030206141,0.0126641343159365,0.000216355160049946,0.0158753520642459,3.42766957759002e-10,6.08942794156794e-41,0,1.12579476306081e-32,1.31228451509683e-27,0.000136226270444809,3.67861930248196e-09,3.63429899131028e-05,0.513177214414291
"Cop3",0.723263278253711,0.82030357103961,0.298066815264011,0.0974835545480342,0.863431584648586,0.0650584059786613,0.21220974207212,1.61565142472752e-07,1.77049361229893e-30,1.12579476306081e-32,0,8.15324656789826e-18,0.00502255036848474,0.000435441155700905,0.0259044586799273,0.578574619020794
"Cop4",0.863812161759283,0.710403048880037,0.671994137110143,0.814762144349369,0.285376184895396,0.102970046613267,0.16371539430028,2.15278009615318e-07,1.00945095297576e-20,1.31228451509683e-27,8.15324656789826e-18,0,1.21821160269571e-12,3.36958135369116e-19,1.73101830762729e-09,0.00427138092038116
"Cmp1",0.152129498680727,0.238950059310524,0.1323397079452,0.692998966086109,0.0687337051895955,0.0800904632764077,0.226374960784849,0.000712618894566178,0.812923569164205,0.000136226270444809,0.00502255036848474,1.21821160269571e-12,0,1.05210755902168e-41,7.06466525005288e-30,2.35165406203442e-20
"Cmp2",0.0790093678259058,0.0210235733363522,0.0343618415349892,0.858785598960557,0.157322248781711,0.00343872843436036,0.327689405735056,0.0234748373743887,1.2817537887932e-05,3.67861930248196e-09,0.000435441155700905,3.36958135369116e-19,1.05210755902168e-41,0,6.75714934301243e-28,4.26528175288354e-14
"Cmp3",0.0712901014683782,0.308852684204275,0.999657725874296,0.67829298724994,0.223047539938612,0.0274017046855293,0.180470716002031,0.0274474432706809,0.00981619614528346,3.63429899131028e-05,0.0259044586799273,1.73101830762729e-09,7.06466525005288e-30,6.75714934301243e-28,0,1.48874602890423e-11
"Cmp4",3.45432688881446e-10,8.16420220991134e-09,3.79227045003136e-06,0.0272510235920984,0.0542976076660289,0.00104050592626038,0.265768915932022,0.169191438004267,0.630850733344368,0.513177214414291,0.578574619020794,0.00427138092038116,2.35165406203442e-20,4.26528175288354e-14,1.48874602890423e-11,0
